seller_id,total_sales,avg_review_score
53243585a1d6dc2643021fd1853d8905,220740.05,4.08
4a3ca9315b744ce9f8e9374361493884,200561.42,3.80
7c67e1448b00f6e969d365cea6b010ab,188017.85,3.35
da8622b14eb17ae2831f4ac5b9dab84a,161993.97,4.07
1025f0e2d44d7041d6cf58b6550e0bfa,139484.38,3.85
955fee9216a65b617aa5c0531780ce60,133948.81,4.05
6560211a19b47992c3666cc44a7e94c0,122484.82,3.91
7d13fca15225358621be4086e1eb0964,113091.19,4.00
5dceca129747e92ff8ef7a997dc4f8ca,110488.73,3.99
1f50f920176fa81dab994f9023523100,107002.21,3.98
cc419e0650a3c5ba77189a1882b7556a,106059.06,4.07
cca3071e3e9bb7d12640c9fbe2301306,64379.37,3.85
04308b1ee57b6625f47df1d56f00eedf,60130.60,3.88
522620dcb18a6b31cd7bdf73665113a9,56096.70,3.90
25c5c91f63607446a97b143d2d535d31,55267.08,3.70
7ddcbb64b5bc1ef36ca8c151f6ec77df,55266.59,3.90
966cb4760537b1404caedd472cc610a5,51087.04,3.85
77530e9772f57a62c906e1c21538ab82,46897.50,4.05
8160255418d5aaa7dbdc9f4c64ebda44,46654.89,3.84
4e922959ae960d389249c378d1c939f5,45466.37,3.90
