seller_id,avg_delivery_days
139157dd4daa45c25b0807ffff348363,1.21
5e063e85d44b0f5c3e6ec3131103a57e,1.29
6561d6bf844e464b4019442692b40e02,1.43
702835e4b785b67a084280efca355756,1.80
674207551483fec113276b67b0d871ff,1.87
2c00c85d30361cd2ced2969cffbbffa3,1.87
f3511c85f59f8dec53d140501ee8e7a8,1.92
96f7c797de9ca20efbe14545bed63eec,1.95
751e274377499a8503fd6243ad9c56f6,2.00
37303482a42fb700d8d127e70a9cd6c8,2.05
e00d85ce20ea50c1224c66ca5050527d,2.05
7caa63f175b1cecbfaadd8b5ab9998c7,2.15
d9b00a97818674c7f8d8b1ef0e689679,2.20
7d81e74a4755b552267cd5e081563028,2.21
99a25c39b28a74d1151c35c18d178292,2.23
26562f211dd1364af2a8596dc945e8ae,2.26
734def04b237117a09321dd6d8f3f2a2,2.29
0af977692321d895349eded183341d28,2.54
8def3db7f272735afb2ecd03aeca09a7,2.66
b76f4d90e85657a240495c876313adc5,2.66
