category_1,category_2,times_bought_together
bed_bath_table,bed_bath_table,1147
furniture_decor,furniture_decor,555
health_beauty,health_beauty,347
computers_accessories,computers_accessories,325
housewares,housewares,306
watches_gifts,watches_gifts,215
sports_leisure,sports_leisure,189
garden_tools,garden_tools,179
fashion_bags_accessories,fashion_bags_accessories,154
toys,toys,123
office_furniture,office_furniture,119
auto,auto,116
baby,baby,112
construction_tools_construction,construction_tools_construction,103
perfumery,perfumery,102
telephony,telephony,101
pet_shop,pet_shop,89
stationery,stationery,77
bed_bath_table,furniture_decor,71
furniture_decor,bed_bath_table,57
