seller_id,total_orders,avg_delivery_days
7c67e1448b00f6e969d365cea6b010ab,973,22.39
88460e8ebdecbfecb5f9601833981930,246,18.27
2eb70248d66e0e3ef83659f71b244378,187,17.97
06a2c3af7b3aee5d69171b0e14f0ee87,389,17.74
431af27f296bc6519d890aa5a05fdb11,116,16.94
8160255418d5aaa7dbdc9f4c64ebda44,380,16.78
cd68562d3f44870c08922d380acae552,122,16.78
b33e7c55446eabf8fe1a42d037ac7d6d,149,16.43
855668e0971d4dfd7bef1b6a4133b41b,300,16.15
7aa4334be125fcdd2ba64b3180029f14,214,15.98
ccc4bbb5f32a6ab2b7066a4130f114e3,184,15.85
00fc707aaaad2d31347cf883cd2dfe10,103,15.77
1c68394e931a64f90ea236c5ea590300,142,15.75
b1fc4f64df5a0e8b6913ab38803c57a9,107,15.73
7d13fca15225358621be4086e1eb0964,558,15.69
7178f9f4dd81dcef02f62acdf8151e01,202,15.64
7e1fb0a3ebfb01ffb3a7dae98bf3238d,155,15.60
1f50f920176fa81dab994f9023523100,1399,15.57
b2479f944e1b90cf8a5de1bbfde284d6,101,15.44
e5a3438891c0bfdb9394643f95273d8e,216,15.38
79ebd9a61bac3eaf882805ed4ecfa12a,133,15.33
dd2bdf855a9172734fbc3744021ae9b9,105,15.25
522620dcb18a6b31cd7bdf73665113a9,172,15.23
213b25e6f54661939f11710a6fddb871,152,15.23
c3867b4666c7d76867627c2f7fb22e21,228,15.22
9c0e69c7bf2619675bbadf47b43f655a,151,15.16
77530e9772f57a62c906e1c21538ab82,312,15.09
37515688008a7a40ac93e3b2e4ab203f,227,15.08
12b9676b00f60f3b700e83af21824c0e,133,15.05
1a3df491d1c4f1589fc2b934ada68bf2,160,15.04
1ca7077d890b907f89be8c954a02686a,108,15.03
4869f7a5dfa277a7dca6462dcf3b52b2,1124,15.01
897060da8b9a21f655304d50fd935913,304,14.86
dd7ddc04e1b6c2c614352b383efe2d36,121,14.82
7142540dd4c91e2237acb7e911c4eba2,316,14.76
85d9eb9ddc5d00ca9336a2219c97bb13,499,14.74
70a12e78e608ac31179aea7f8422044b,312,14.70
4e922959ae960d389249c378d1c939f5,412,14.63
e9bc59e7b60fc3063eb2290deda4cced,209,14.57
634964b17796e64304cadf1ad3050fb7,265,14.50
f457c46070d02cadd8a68551231220dd,195,14.45
004c9cd9d87a3c30c522c48c4fc07416,156,14.43
4a3ca9315b744ce9f8e9374361493884,1772,14.42
128639473a139ac0f3e5f5ade55873a5,527,14.41
0b90b6df587eb83608a64ea8b390cf07,163,14.40
8f2ce03f928b567e3d56181ae20ae952,151,14.38
6a8b085f816a1f75f92dbac6eb545f8f,125,14.37
1b4c3a6f53068f0b6944d2d005c9fc89,111,14.34
3b15288545f8928d3e65a8f949a28291,101,14.33
710e3548e02bc1d2831dfc4f1b5b14d4,131,14.31
d2374cbcbb3ca4ab1086534108cc3ab7,514,14.30
8b28d096634035667e8263d57ba3368c,139,14.29
391fc6631aebcf3004804e51b40bcf1e,521,14.27
cca3071e3e9bb7d12640c9fbe2301306,699,14.24
48436dade18ac8b2bce089ec2a041202,134,14.15
7008613ea464bad5cb9b83456e1e6a8f,123,14.10
1554a68530182680ad5c8b042c3ab563,246,14.08
17e34d8224d27a541263c4c64b11a56b,247,14.04
b2ba3715d723d245138f291a6fe42594,324,13.97
25c5c91f63607446a97b143d2d535d31,156,13.93
dc4a0fc896dc34b0d5bfec8438291c80,225,13.81
218d46b86c1881d022bce9c68a7d4b15,382,13.80
2c9e548be18521d1c43cde1c582c6de8,124,13.73
a1043bafd471dff536d0c462352beb48,702,13.59
92eb0f42c21942b6552362b9b114707d,334,13.48
3d871de0142ce09b7081e2b9d1733cb1,1064,13.42
53243585a1d6dc2643021fd1853d8905,348,13.37
ef506c96320abeedfb894c34db06f478,316,13.34
fa1c13f2614d7b5c4749cbc52fecda94,578,13.34
70eea00b476a314817cefde4aad4f89a,106,13.33
ea8482cd71df3c1969d7b9473ff13abc,1132,13.32
7d76b645482be4a332374e8223836592,172,13.26
c826c40d7b19f62a09e2d7c5e7295ee2,346,13.20
44073f8b7e41514de3b7815dd0237f4f,142,13.17
a3e9a2c700480d9bb01fba070ba80a0e,129,13.15
f7ba60f8c3f99e7ee4042fdef03b70c4,218,13.12
001cca7ae9ae17fb1caed9dfb1094831,195,13.10
4d6d651bd7684af3fffabd5f08d12e5a,363,13.06
ceaec5548eefc6e23e6607c5435102e7,198,12.92
620c87c171fb2a6dd6e8bb4dec959fc6,724,12.88
cbd996ad3c1b7dc71fd0e5f5df9087e2,160,12.84
8581055ce74af1daba164fdbd55a40de,379,12.83
4c2b230173bb36f9b240f2b8ac11786e,258,12.80
1900267e848ceeba8fa32d80c1a5f5a8,406,12.80
0adac9fbd9a2b63cccaac4f8756c1ca8,106,12.78
c31eff8334d6b3047ed34bebd4d62c36,120,12.77
de722cd6dad950a92b7d4f82673f8833,337,12.77
1835b56ce799e6a4dc4eddc053f04066,417,12.77
7ddcbb64b5bc1ef36ca8c151f6ec77df,325,12.64
e9d99831abad74458942f21e16f33f92,130,12.63
8b321bb669392f5163d04c59e235e066,930,12.62
a416b6a846a11724393025641d4edd5e,157,12.60
0c8380b62e38e8a1e6adbeba7eb9688c,180,12.58
a673821011d0cec28146ea42f5ab767f,125,12.57
